CPU%,RAM_USADA,RAM_LIVRE,RAM_TOTAL
1.1%,0.447906 GB,13.1794 GB,14.6125 GB
1.1%,0.448711 GB,13.1786 GB,14.6125 GB
1.1%,0.448936 GB,13.1789 GB,14.6125 GB
1.1%,0.448307 GB,13.179 GB,14.6125 GB
1.1%,0.448559 GB,13.179 GB,14.6125 GB
1.1%,0.448009 GB,13.179 GB,14.6125 GB
1.1%,0.448349 GB,13.1792 GB,14.6125 GB
1.1%,0.448566 GB,13.1787 GB,14.6125 GB
1.1%,0.448505 GB,13.1788 GB,14.6125 GB
1.1%,0.448273 GB,13.179 GB,14.6125 GB
1.1%,0.448109 GB,13.1794 GB,14.6125 GB
1.1%,0.448402 GB,13.1786 GB,14.6125 GB
1.1%,0.449051 GB,13.1785 GB,14.6125 GB
1.1%,0.448803 GB,13.1782 GB,14.6125 GB
1.1%,0.448849 GB,13.1784 GB,14.6125 GB
1.1%,0.448895 GB,13.1784 GB,14.6125 GB
1.1%,0.449135 GB,13.1779 GB,14.6125 GB
1.1%,0.448986 GB,13.1783 GB,14.6125 GB
1.1%,0.449306 GB,13.1777 GB,14.6125 GB
1.1%,0.449345 GB,13.1779 GB,14.6125 GB
1.1%,0.448959 GB,13.178 GB,14.6125 GB
1.1%,0.448959 GB,13.1781 GB,14.6125 GB
1.1%,0.449463 GB,13.1778 GB,14.6125 GB
1.1%,0.44902 GB,13.1777 GB,14.6125 GB
1.1%,0.448959 GB,13.1785 GB,14.6125 GB
1.1%,0.449627 GB,13.1774 GB,14.6125 GB
1.1%,0.449982 GB,13.1773 GB,14.6125 GB
1.1%,0.450157 GB,13.1771 GB,14.6125 GB
1.1%,0.450157 GB,13.1768 GB,14.6125 GB
1.1%,0.449699 GB,13.1773 GB,14.6125 GB
1.1%,0.449535 GB,13.178 GB,14.6125 GB
1.1%,0.449272 GB,13.1777 GB,14.6125 GB
1.1%,0.450062 GB,13.1772 GB,14.6125 GB
1.1%,0.449841 GB,13.1771 GB,14.6125 GB
1.1%,0.449955 GB,13.177 GB,14.6125 GB
1.1%,0.449722 GB,13.1775 GB,14.6125 GB
1.1%,0.449429 GB,13.1776 GB,14.6125 GB
1.1%,0.449394 GB,13.1778 GB,14.6125 GB
1.1%,0.449085 GB,13.1781 GB,14.6125 GB
1.1%,0.448223 GB,13.1788 GB,14.6125 GB
1.1%,0.448967 GB,13.178 GB,14.6125 GB
1.1%,0.449547 GB,13.1777 GB,14.6125 GB
1.1%,0.449345 GB,13.1777 GB,14.6125 GB
1.1%,0.44912 GB,13.1779 GB,14.6125 GB
1.1%,0.449211 GB,13.178 GB,14.6125 GB
1.1%,0.449226 GB,13.178 GB,14.6125 GB
1.1%,0.449032 GB,13.1782 GB,14.6125 GB
1.1%,0.449039 GB,13.1782 GB,14.6125 GB
1.1%,0.449188 GB,13.178 GB,14.6125 GB
1.1%,0.449512 GB,13.1777 GB,14.6125 GB
1.1%,0.449303 GB,13.1779 GB,14.6125 GB
1.1%,0.449409 GB,13.1778 GB,14.6125 GB
1.1%,0.448704 GB,13.1783 GB,14.6125 GB
1.1%,0.449425 GB,13.1781 GB,14.6125 GB
1.1%,0.44965 GB,13.1776 GB,14.6125 GB
1.1%,0.449764 GB,13.1774 GB,14.6125 GB
1.1%,0.449482 GB,13.1777 GB,14.6125 GB
1.1%,0.449287 GB,13.1779 GB,14.6125 GB
1.1%,0.449581 GB,13.1776 GB,14.6125 GB
1.1%,0.449966 GB,13.1772 GB,14.6125 GB
1.1%,0.449711 GB,13.1775 GB,14.6125 GB
1.1%,0.449238 GB,13.1777 GB,14.6125 GB
1.1%,0.449028 GB,13.1779 GB,14.6125 GB
1.1%,0.44915 GB,13.1778 GB,14.6125 GB
1.1%,0.449188 GB,13.178 GB,14.6125 GB
1.1%,0.448933 GB,13.1782 GB,14.6125 GB
1.1%,0.449707 GB,13.1775 GB,14.6125 GB
1.1%,0.449429 GB,13.1777 GB,14.6125 GB
1.1%,0.449345 GB,13.1776 GB,14.6125 GB
1.1%,0.449444 GB,13.1777 GB,14.6125 GB
1.1%,0.449512 GB,13.1774 GB,14.6125 GB
1.1%,0.450047 GB,13.1771 GB,14.6125 GB
1.1%,0.450191 GB,13.1772 GB,14.6125 GB
1.1%,0.449596 GB,13.1776 GB,14.6125 GB
1.1%,0.449341 GB,13.1778 GB,14.6125 GB
1.1%,0.449207 GB,13.1779 GB,14.6125 GB
1.1%,0.447735 GB,13.1797 GB,14.6125 GB
1.1%,0.447411 GB,13.1793 GB,14.6125 GB
1.1%,0.447987 GB,13.1792 GB,14.6125 GB
1.1%,0.448116 GB,13.1788 GB,14.6125 GB
1.1%,0.448402 GB,13.1787 GB,14.6125 GB
1.1%,0.448231 GB,13.1789 GB,14.6125 GB
1.1%,0.448345 GB,13.1788 GB,14.6125 GB
1.1%,0.448269 GB,13.1789 GB,14.6125 GB
1.1%,0.448299 GB,13.1789 GB,14.6125 GB
1.1%,0.448338 GB,13.1788 GB,14.6125 GB
1.1%,0.44772 GB,13.1792 GB,14.6125 GB
1.1%,0.448254 GB,13.1789 GB,14.6125 GB
1.1%,0.448456 GB,13.1784 GB,14.6125 GB
1.1%,0.448536 GB,13.1786 GB,14.6125 GB
1.1%,0.448372 GB,13.1788 GB,14.6125 GB
1.1%,0.448395 GB,13.179 GB,14.6125 GB
1.1%,0.447884 GB,13.1792 GB,14.6125 GB
1.1%,0.447868 GB,13.1793 GB,14.6125 GB
1.1%,0.447823 GB,13.1793 GB,14.6125 GB
1.1%,0.447769 GB,13.1796 GB,14.6125 GB
1.1%,0.44804 GB,13.1789 GB,14.6125 GB
1.1%,0.448109 GB,13.1793 GB,14.6125 GB
1.1%,0.448433 GB,13.1787 GB,14.6125 GB
1.1%,0.448509 GB,13.1784 GB,14.6125 GB
